cycle,parsed_valid,parsed_type,order_ref,side,shares,price,timestamp,stock_symbol,match_id
2184,1,0x0,0x5feaa78bdd79b8b6,0x0,0xe19a0,0x4eb15,,,
2207,1,0x1,0x508b1e54723e4c5c,,0x4898b,,,,
2237,1,0x3,0xaeaed681065f2ae0,,0x6cce,,0xdcc69c62e2ee,,0xb1a4fbbe3100d49a
2264,1,0x4,0xa576ad51f649599c,,0xd7e85,0x61ae2,,,
2304,1,0x5,0x7f38ea39ff72fa96,0x1,0x13fb,0x680f5,0x10cb5815c0cb,0x4c424f2020202020,0xe96c2d5558f4e95e
2313,1,0x2,0xb1664076b922fa9f,,,,,,
2349,1,0x0,0xd094c333d9f8f036,0x0,0xdc164,0x6956c,,,
2372,1,0x1,0xce20dc38cda1c06e,,0x18a51,,,,
2402,1,0x3,0x10097f9c858733a4,,0x52a3d,,0xe03e79724ccb,,0xede88f960330cd60
2411,1,0x2,0xb8dcb49e157e0279,,,,,,
2438,1,0x4,0x92258488c5027100,,0x14902,0xf0b2,,,
2478,1,0x5,0x2e08b7fd1f3a0c0e,0x1,0x2359,0x88974,0xb21dda938b3d,0x4449442020202020,0x6a03f3fa6daae7f3
2514,1,0x0,0x8eff8ee4e94396bd,0x1,0xe00b5,0x75cf4,,,
2537,1,0x1,0x7f8d763a43398aa0,,0xc69c,,,,
2567,1,0x3,0xbefe489031ba76c3,,0xb1a7a,,0xcd66a01969ca,,0x8b3cff57acc6a25c
2576,1,0x2,0x4e7f8d82ee2ba061,,,,,,
2616,1,0x5,0x2aa8e287c4437aa0,0x0,0x1645,0x9477b,0x256d34131f7c,0x4757412020202020,0x62e7daecd6e376f0
2643,1,0x4,0x23c4cb0a14f1e1f5,,0x4cfb7,0x65ab4,,,
2679,1,0x0,0x6ce9b34eb5f6bcbc,0x1,0x540ec,0x83c66,,,
2702,1,0x1,0x66691813a3ff951,,0x54cd6,,,,
2732,1,0x3,0x814146524eeb859,,0x1961b,,0xe8f8201fa563,,0xc6ad6c133ae461d
2772,1,0x5,0xb6022f4391128985,0x0,0x2435,0x2b8a9,0x9af9c169000,0x5a5a514c52202020,0x2092857f975dbe8c
2799,1,0x4,0x636d75618bbd084f,,0x6c275,0x2881,,,
2808,1,0x2,0x91227436f607c509,,,,,,
2844,1,0x0,0x56155ba38e826086,0x0,0x58207,0x576c8,,,
2867,1,0x1,0xc724cac2d9d4b6b6,,0x3ebda,,,,
2897,1,0x3,0xb22529543e096923,,0x6d672,,0x265114cc7cb8,,0x245d984b3b474825
2937,1,0x5,0xa72c40e3178234ce,0x0,0x88b,0xbdbd3,0x29e0b31253f1,0x5451445020202020,0x6824bbbe33d93d67
2946,1,0x2,0x75eb9383d9c5b96d,,,,,,
2973,1,0x4,0xc23711343531c642,,0x83121,0x6e721,,,
3009,1,0x0,0x2b5822025cf5e2c8,0x1,0x79a21,0x3d841,,,
3032,1,0x1,0xd47af46352fee79d,,0x423e9,,,,
3072,1,0x5,0xb8efd17a0cfec42,0x1,0xd90,0x19b6f,0x34b70cd42958,0x5558505144202020,0xee7ed97c9095ced3
3099,1,0x4,0x4f78603bfde7c87c,,0x23be,0x4bf23,,,
3108,1,0x2,0xd5f5bb1cad74da4f,,,,,,
3138,1,0x3,0x5f8cf38bc9fb4e4d,,0x788bf,,0x535498bdd493,,0x1815a499f73fdc57
3174,1,0x0,0xbb07b6ca541d0547,0x1,0x5fc11,0xa4fcc,,,
3197,1,0x1,0x924baa024e661ebc,,0xb377d,,,,
3237,1,0x5,0xca0bf43ae2369f1b,0x0,0x20a7,0xd19ba,0xa0d70f6838d,0x4159432020202020,0x59ad77b0a12787c0
3264,1,0x4,0xe97ee4e5bc5a98d0,,0xb4f6d,0x694ee,,,
3294,1,0x3,0x672710ff57e5fd76,,0x8005a,,0x74e2573fda95,,0x2aa08c29134ea92c
3303,1,0x2,0x8c0ea4081d6a4524,,,,,,
3339,1,0x0,0x7102581f6f188eb1,0x0,0x8322b,0xdc358,,,
3362,1,0x1,0x6cfae5af5a718b52,,0x4a12a,,,,
3402,1,0x5,0x764e3fe424ef9711,0x0,0x2489,0x296f1,0x301cd3f81443,0x5643475120202020,0x1d1b1909644f4e97
3411,1,0x2,0xb00b8e551ceda8ed,,,,,,
3438,1,0x4,0x2061041615c6c3a2,,0x7a83e,0x39f6a,,,
3468,1,0x3,0xca16b186abdcc72d,,0x4ea05,,0xb3edb502bd5d,,0xcaf39862cb8c781e
3504,1,0x0,0xc9f02932cee1ba0b,0x1,0x95cc6,0x960a9,,,
3527,1,0x1,0xdaeb7c653f1fffd,,0x64d26,,,,
3567,1,0x5,0x21acb4a1be3e8aa6,0x1,0xb18,0x2977d,0x81126b0ce0b1,0x4758584d20202020,0xa20b618a2766a161
3576,1,0x2,0x2a40f07cca00d1ca,,,,,,
3606,1,0x3,0xdcc22d9064dcd3,,0x85b14,,0xc56ec551c802,,0xfa57c4d2e70918f3
3633,1,0x4,0x3c2ad82c09c8e305,,0x462d0,0x23bcc,,,
3669,1,0x0,0x67cdd16e43ef0e7c,0x1,0xeb281,0x8c739,,,
3692,1,0x1,0x3386a11726db704d,,0x870c0,,,,
3732,1,0x5,0x87f38bb34e0d1673,0x0,0xab6,0x8d2fa,0xfbdbd49e126f,0x4c4d4d4f20202020,0xd5629ab7ea32d924
3762,1,0x3,0x7632f7c24d13db7f,,0x64902,,0xb92c4e3a99bc,,0x8a0528e44b405ecd
3789,1,0x4,0x2c42412b0aa58a8c,,0xde420,0x59948,,,
3798,1,0x2,0xb1050122b2bb546b,,,,,,
3834,1,0x0,0xa550a839a440d347,0x1,0xc0da3,0x40b55,,,
3857,1,0x1,0x28578ec576edd6ca,,0xc7594,,,,
3897,1,0x5,0xdb7bae4c55f11ce7,0x1,0x1308,0xa468b,0x60d9ff80c3d4,0x5844562020202020,0xc87b2dafb7198090
3927,1,0x3,0xe80fb51b82755787,,0x8dd79,,0x1bbb3c829513,,0x45b1e57d75003e4f
3936,1,0x2,0x236e00c6094147dc,,,,,,
3963,1,0x4,0xa1839133ce15255b,,0x87bf,0x5ba1,,,
3999,1,0x0,0x5ebc736263ed7843,0x1,0xb40e7,0x777cb,,,
4026,1,0x4,0xdc2b169bd9eee27d,,0x5a3bb,0x65e65,,,
4049,1,0x1,0x1aee13b1ee6d11b7,,0xd29b7,,,,
4058,1,0x2,0xfe9983ba7c250d0f,,,,,,
4088,1,0x3,0xe010ae6ee73dccef,,0x4cf34,,0x2e40bed3671f,,0xd70f92cae7638fb8
4128,1,0x5,0x4fcde7f0c50e53b3,0x1,0x259f,0xb341,0x2de299e0d96f,0x5059514a50442020,0x24ca29fd5676beb6
4164,1,0x0,0x78286f662e1b71c8,0x0,0x90cea,0x45678,,,
4191,1,0x4,0xf818e6815bc701,,0x54b64,0x27d3e,,,
4214,1,0x1,0xbf402b8ca31d3adf,,0x7fae6,,,,
4223,1,0x2,0x2ad19012fa52e69b,,,,,,
4263,1,0x5,0x8137ee76e5c00aa9,0x0,0x1ee5,0xd9632,0xb69ad7605d2e,0x48594b5442492020,0xcef102b0ed5d8745
4293,1,0x3,0xe04e5c3e861887f9,,0xe9638,,0x5584a4283f35,,0xaa5a2d0563f72ebf
4329,1,0x0,0x5fda802dd4c98024,0x0,0x526b2,0xafc62,,,
4356,1,0x4,0xcd5ab934a91139a9,,0x296b7,0xfe8a,,,
4379,1,0x1,0x74acc321cba83cbe,,0x3141c,,,,
4409,1,0x3,0x655b379b236b7410,,0xc6034,,0x6521cc207132,,0x2acac5f4017c8553
4418,1,0x2,0x64c655236f2ab60d,,,,,,
4458,1,0x5,0x82a7807cbbd1e729,0x1,0xe6d,0x4151e,0xed031bb51d45,0x4b4c4e2020202020,0x9729ecf4fa7d71d9
4494,1,0x0,0x4d736b8c13259188,0x1,0x59bc3,0x50ab9,,,
4521,1,0x4,0x346825302ba29f04,,0x76539,0x2a19b,,,
4544,1,0x1,0xde77fb468243201e,,0x51866,,,,
4574,1,0x3,0xb3e9b47f883f98a5,,0x6c202,,0x573b99bc2346,,0xced448c6d0841bd4
4614,1,0x5,0xf32a683bc2d5a497,0x0,0x1674,0x4df25,0xbc16cb81c4ec,0x5045492020202020,0x264ecb87c11030ce
4623,1,0x2,0x4ef57a51d977ab2b,,,,,,
4659,1,0x0,0xfe48966a5fdbf7ee,0x0,0x242ba,0x942be,,,
4686,1,0x4,0x4c75eaf618d16cfc,,0x271fe,0x19820,,,
4709,1,0x1,0xb3f23e2c05deaec2,,0x6d332,,,,
4749,1,0x5,0x9006a2eae2175478,0x1,0x13fb,0xc061c,0x9f862bf6517a,0x4844444c494b2020,0xaa32f944d53a0abb
4758,1,0x2,0xa5926534dfc304bd,,,,,,
4788,1,0x3,0x9c7cdce7d86129ee,,0x76774,,0x4cc386528501,,0x34906278c1a2f149
4824,1,0x0,0x830d3c2a124bef2f,0x1,0x40d6c,0x4b846,,,
4851,1,0x4,0x648fd2a4125a9860,,0xcb21b,0x21a93,,,
4874,1,0x1,0x9d47a537dde133de,,0x9fc16,,,,
4914,1,0x5,0x59483d4c00e7ddb8,0x1,0x305,0xa0f4d,0x82a81e3fb04a,0x57524f5152482020,0x7d7df7b6c912015a
4944,1,0x3,0x563bfa2aabd825ff,,0x51d2,,0x35ac1a6d41e5,,0x1b3a23fa3edece80
4953,1,0x2,0x3f92825f0bd33db,,,,,,
4989,1,0x0,0x847c46f0c34943ba,0x0,0x8f3d9,0x86eaa,,,
5016,1,0x4,0x7841b0be1e2be0ba,,0xab62,0xb532,,,
5025,1,0x2,0x6a580294c3037e6,,,,,,
5048,1,0x1,0x3a49215719fa51fa,,0xba403,,,,
5078,1,0x3,0xe68aae14f56be6d2,,0x9f934,,0x92575c16c7af,,0xaa2b2192c02a0d29
5118,1,0x5,0x8d23c5e326361892,0x0,0x1ab5,0x420f5,0xf8dca5dd31b,0x5842584f59202020,0xd11243eeabae9910
5154,1,0x0,0x5144bd36e5ea13eb,0x0,0x913bc,0xbfb5b,,,
5181,1,0x4,0xac747d8b6a53a33,,0xdf6ea,0x27e5b,,,
5190,1,0x2,0xddb339a46ec23204,,,,,,
5213,1,0x1,0xddc7f270cdd73cf4,,0x4cf57,,,,
5253,1,0x5,0xf3e82d0b0f1abf89,0x1,0x1b39,0xdd422,0xda85b56a63df,0x4253424d42502020,0xa46c7bc7893c2363
5283,1,0x3,0xf8fd1295f14b972,,0x5628d,,0x34cad8fa28da,,0x7453bdceabef15fb
5319,1,0x0,0x2d0cf951c224db4,0x1,0x6da89,0xc15e1,,,
5346,1,0x4,0x33d71acb94e87953,,0xb874f,0x399c4,,,
5355,1,0x2,0xb2a995395925b540,,,,,,
5385,1,0x3,0x68faf2f3aa669bf6,,0xdf06e,,0x5e1d99a3aaa8,,0xadef1292c8fcfabd
5408,1,0x1,0xf455959d87b57a88,,0x65308,,,,
5448,1,0x5,0x2f6923a56e8d5627,0x1,0x20ba,0xd2c6f,0x40f2642e1330,0x5849434e43492020,0x90c4610397d054a6
5484,1,0x0,0x61f64f8f4b977c52,0x0,0x83e3f,0x96ff2,,,
5511,1,0x4,0xba8de574e0d57209,,0xdf504,0x4a254,,,
5520,1,0x2,0xf201896214b61742,,,,,,
5550,1,0x3,0x93092cd8768ee9d5,,0xa6bae,,0x88223d767a74,,0x7539fb950b7b4f1b
5590,1,0x5,0x535a0f1857854d8e,0x0,0x4e3,0xecb1e,0x633971caceeb,0x504e4d4820202020,0xaf2511a72293579a
5613,1,0x1,0xa1984868c3a75738,,0xe5710,,,,
5649,1,0x0,0xb419a84ae337f82a,0x0,0x7bdc1,0xef515,,,
5676,1,0x4,0x23494d1192e5b831,,0xe7794,0x604b0,,,
5685,1,0x2,0x9468782f46a386df,,,,,,
5725,1,0x5,0xde558d9cee384a8d,0x0,0x16ef,0x80ec8,0x9ba818d68e90,0x49514f2020202020,0x336111f6962fdcd2
5748,1,0x1,0x3981339076803878,,0xa7ca2,,,,
5778,1,0x3,0x68fc82fd9fac2e9b,,0xd7a0d,,0x9073ee478dcc,,0x3511e9ad931c5cbf
5814,1,0x0,0xdb5a2b5fece1335d,0x1,0x21278,0x1fdba,,,
5841,1,0x4,0x152995b2cde64159,,0x9d71,0x3e069,,,
5850,1,0x2,0xd0000762cc81b2d2,,,,,,
5890,1,0x5,0xdd831e2116784381,0x0,0x20b8,0x3f1e7,0x9f3ab172ab2a,0x534c484748472020,0xb270cd598762f2cc
5920,1,0x3,0x4873490694ed333f,,0x81df5,,0x5ca99a928205,,0x905df8ea00f9118a
5943,1,0x1,0xfbc0441b3da253fb,,0x7bf36,,,,
5979,1,0x0,0xd0d2cf435768e888,0x0,0xa16e,0x34856,,,
6006,1,0x4,0xa2ff8f114149c656,,0x50040,0x5def1,,,
6036,1,0x3,0x9044c372f4551ec2,,0xc2c5d,,0x7062db354674,,0xee80f448f5952340
6059,1,0x1,0xae4497aedb6bd9b8,,0xa5f65,,,,
6068,1,0x2,0x4f35f6489a5849e4,,,,,,
6108,1,0x5,0x782e307c0b1b5cc4,0x1,0x25bc,0x2e69e,0xb496fbef176b,0x5a5a425243202020,0x85b659018941b188
6144,1,0x0,0x32a07c510f723bb,0x0,0xc4c66,0x1c76c,,,
6171,1,0x4,0xed31648f0476479d,,0xdd756,0x10032,,,
6201,1,0x3,0x503a9a29ce488582,,0x503b7,,0xe837b0ba7707,,0x143ae4365ad232b0
6224,1,0x1,0x1455d2a4f1551cc6,,0x7056e,,,,
6264,1,0x5,0x9d170d790bec2a9,0x1,0x134,0xebbe1,0x268cdd08c62d,0x5a46595748492020,0x88ff0b66e9dab1f2
6273,1,0x2,0xffbc431be0cb67d4,,,,,,
6309,1,0x0,0x6b8c17c5e962094a,0x0,0x27ad2,0xce7a7,,,
6336,1,0x4,0xd0664046bdabe57f,,0x16590,0x57713,,,
6366,1,0x3,0xa363d78da4c8f479,,0xa2f03,,0x9f440a843af0,,0xfb7fa39ef8a79f31
6375,1,0x2,0xb363b5c6777e1b15,,,,,,
6398,1,0x1,0x277b46055eb62315,,0x22e65,,,,
6438,1,0x5,0xf04017fd55137cbc,0x0,0x1ed5,0x1771b,0x4c47d1fdb936,0x4a48514947502020,0xacbfe3e713ddc8cb
6474,1,0x0,0xcf73ecb1649fbe06,0x0,0xd2956,0x85327,,,
6501,1,0x4,0x303d64c0525021f7,,0xb2fcc,0x64919,,,
6531,1,0x3,0x7b67bb131c94cc26,,0x11d0a,,0xd23c8668f314,,0x8cc08f8eed9b3792
6540,1,0x2,0x40c6535390f448ca,,,,,,
6580,1,0x5,0xf097c70c97f9b5ca,0x1,0x20fa,0x1129e,0x4bf28cacef2d,0x4b48542020202020,0x9ffc9bf56d26ed5a
6603,1,0x1,0xf5c91f5dac6512bd,,0x4a32c,,,,
6639,1,0x0,0x9f86e1dfe4365e7e,0x1,0xb0d94,0xe38f7,,,
6666,1,0x4,0x589f0361e71043b4,,0x91ef,0x72ba3,,,
6696,1,0x3,0xa97527071f1f29b1,,0x83087,,0xea467c500c41,,0xb6effe2eb64fd2b0
6736,1,0x5,0x617ad21a52fa295c,0x1,0x25ba,0xecb84,0x2148e6ad33c6,0x4e57585852202020,0x359988cbf5009f69
6759,1,0x1,0xfc41e8ea88b7cdce,,0x4cd16,,,,
6768,1,0x2,0x9a409c9e52aee399,,,,,,
6804,1,0x0,0xb7cdbb70eab9daed,0x1,0x18a16,0xb5fc3,,,
6831,1,0x4,0xc6bc10cd69888982,,0x1aa3e,0xcf2d,,,
6861,1,0x3,0xb8e240679c74ee30,,0xa2bc2,,0x8f592542ef49,,0x611cb0f3524affa3
6901,1,0x5,0x7c04e11a0ad2cf3c,0x0,0x1e05,0xb6bbf,0x63e53a969aad,0x4a4a514f20202020,0xbc74a9245df58f7
6910,1,0x2,0xa4579e9d6ef3e702,,,,,,
6933,1,0x1,0xd964049d14e72702,,0x34730,,,,
6969,1,0x0,0xe6a5d0ba9bad4c22,0x0,0xc9f4b,0x5600d,,,
6996,1,0x4,0xcb4fd40f15082510,,0xce69b,0x71fe,,,
7036,1,0x5,0x933de6b1776a8cb8,0x0,0xb9a,0xed2bf,0x7eae2cb2e2da,0x464f59414d512020,0x890f0ca2353c033f
7059,1,0x1,0x1129d0dedd281aa2,,0x18f4,,,,
7068,1,0x2,0xd66200699e5e560b,,,,,,
7098,1,0x3,0xd5180d71e2e1e3b4,,0xc1aea,,0xc498e1b81cfc,,0xbf85a992857f09f4
7134,1,0x0,0x9747d3cf545c6003,0x0,0x7a8ac,0xb1f59,,,
7161,1,0x4,0xd0c4e10c6b9fcdbe,,0xd619e,0x8a3a,,,
7201,1,0x5,0x3400f791dbf45382,0x0,0x1de9,0xd3469,0xbeaae5ddf59a,0x4d49425249482020,0xe5976763ba01e735
7224,1,0x1,0x9f35d195c15f9732,,0xddd1f,,,,
7254,1,0x3,0x6b88b569ff3ced48,,0x5e4d,,0xdfaab9fa0115,,0xeb0e73326ed8dcb2
7263,1,0x2,0x2e4109ac2705a2e6,,,,,,
7299,1,0x0,0xbed4fb39d17ede8b,0x1,0xde210,0x905b2,,,
7326,1,0x4,0x4d6e74c22ad1196e,,0x453cc,0x79f15,,,
7366,1,0x5,0x584038f3e23da109,0x1,0x9e8,0x9446e,0xd9362bcce660,0x5150475555542020,0xe6cfdd0c1505b3c1
7375,1,0x2,0xb2c89085f572a70f,,,,,,
7398,1,0x1,0x410e26690d32f9c0,,0x21ef2,,,,
7428,1,0x3,0x2c1c2b3d5865d5f1,,0x17357,,0xb1651e848d88,,0xe29229ed07d79365
7464,1,0x0,0x21cf2fada997e21,0x0,0x1fc26,0xe4046,,,
7491,1,0x4,0x1f5a144522981e05,,0x12ba3,0x3c527,,,
7531,1,0x5,0x291faded01eeb887,0x1,0xb08,0x1adc2,0xbc9afd0dfd11,0x51565a2020202020,0xd684877e934302b8
7540,1,0x2,0x245e38d9a0eb3936,,,,,,
7570,1,0x3,0x38a61c54ba43e6ab,,0x10797,,0x3bdc4d6628c4,,0x6fd1ed6d5688b3e7
7593,1,0x1,0x20907e8603914af8,,0x62a19,,,,
7629,1,0x0,0x94a33880eb3b2931,0x0,0x9218a,0x361cd,,,
7656,1,0x4,0x67a7d119c2edcf38,,0x523c9,0x329e0,,,
7696,1,0x5,0x2f29e109181c5460,0x0,0x241c,0xc9199,0x235fbfae4b01,0x42524d2020202020,0xfca1852f3130fdb7
7726,1,0x3,0x14d2f5517244defe,,0xa564d,,0xfc93a428cbf9,,0x62dd1eb8da99ceee
7749,1,0x1,0x84d4f39fa228257a,,0xb35c9,,,,
7758,1,0x2,0xa66890df54b1f6d8,,,,,,
7794,1,0x0,0x8e399e1fcf75ba53,0x0,0x45c3f,0x74fb1,,,
7821,1,0x4,0x26d2a123653533cc,,0x4e33d,0x28aed,,,
7861,1,0x5,0x30ede2a270b65099,0x0,0x2287,0x39c7,0x2f52d58361ee,0x5252572020202020,0xfded9276a9c5472d
7891,1,0x3,0xc5d86191542c09e8,,0x4b06f,,0x1a51c1c136f3,,0x5e20615b81fb1f2a
7900,1,0x2,0x566d3c6e508ee208,,,,,,
7923,1,0x1,0xb9d988344ba77176,,0x41ed3,,,,
7959,1,0x0,0x3b87196d62e5d383,0x0,0xc98d8,0x94032,,,
7968,1,0x2,0x704223f95e3943f6,,,,,,
7991,1,0x1,0x949c2ef15be3eba0,,0x23dfb,,,,
8018,1,0x4,0xfab31d7e580f731e,,0x5dce2,0x78007,,,
8048,1,0x3,0xa4fa656a3ddcce54,,0xbde17,,0x2565cc85758f,,0x8b796f51a4adb75b
8088,1,0x5,0x11ec37a4648bada3,0x0,0x4f5,0x188a8,0x4ef3bf8591e4,0x4c50572020202020,0x814eca1a15b82582
8124,1,0x0,0xbdc2ddd480214399,0x1,0x70453,0x6b9f2,,,
8133,1,0x2,0xbe357974f8647dac,,,,,,
8156,1,0x1,0xcf13645527332b9f,,0xd183f,,,,
8183,1,0x4,0x23a51ca37ebfed99,,0x5fa0e,0x37a70,,,
8223,1,0x5,0x738a13cbbab00142,0x1,0xa92,0x3b9aa,0xf2eac4d3ebe8,0x54414e5620202020,0x57fe8f0e2e19da20
8253,1,0x3,0x880c947969324ff3,,0x2c2d1,,0xd1d21d8af988,,0xecbafbf47919af06
8289,1,0x0,0xe471f3423c1ecc04,0x0,0x483a9,0x98bf7,,,
8298,1,0x2,0x81d408470520fbe9,,,,,,
8321,1,0x1,0x4bf1a90bf2464a06,,0xd3f3,,,,
8351,1,0x3,0x8f10778afec9e831,,0x7a243,,0x6817c27fa917,,0x8cd8745f0a933918
8378,1,0x4,0x566e4ba783174e8,,0xba2fe,0x58cee,,,
